Type of Permit,New Units Permitted,Net Units Permitted,Type of Dwelling Unit,Issued Date,Year Issued,Year Finaled,Urban Village Name,Urban Village Type,Neighborhood,Council District,Longitude,Latitude,GEOID20,Type of Dwelling Unit per Code
Construction Permit,1,1,ADU,7/13/2023 8:00,2023,2025,Outside Villages,Outside Villages,Delridge Neighborhoods,1,-122.3512869,47.53708416,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,ADU,2/5/2024 8:00,2024,2024,Outside Villages,Outside Villages,Northwest,5,-122.3713645,47.71768772,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,MF,3/29/2019 8:00,2019,2019,12th Avenue,Urban Center Village,East,3,-122.3159842,47.60571544,5.30E+14,Apartment
Construction Permit,1,1,DADU,5/11/2024 8:00,2024,2025,Outside Villages,Outside Villages,North,5,-122.31427,47.69436758,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,3/6/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3142392,47.70071614,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,2,2,MF,9/6/2019 8:00,2019,2021,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3452212,47.63030342,5.30E+14,Townhouse
Construction Permit,1,1,ADU,4/16/2022 8:00,2022,2025,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3696624,47.63042037,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,ADU,5/8/2019 8:00,2019,2020,Outside Villages,Outside Villages,East,3,-122.309624,47.63120841,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,3,3,MF,4/24/2018 8:00,2018,2019,Capitol Hill,Urban Center Village,East,3,-122.3097105,47.61922279,5.30E+14,Townhouse
Construction Permit,1,1,DADU,6/13/2023 8:00,2023,2024,Outside Villages,Outside Villages,Northwest,5,-122.3279451,47.72530646,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,SF,8/2/2019 8:00,2019,2022,Outside Villages,Outside Villages,East,3,-122.2823033,47.63048968,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,9/22/2021 8:00,2021,2022,Outside Villages,Outside Villages,East,3,-122.2789317,47.63042762,5.30E+14,Detached Single-Family
Construction Permit,1,1,ADU,9/22/2021 8:00,2021,2022,Outside Villages,Outside Villages,East,3,-122.2789317,47.63042762,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,2/2/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.314048,47.7025454,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,6,6,MF,6/28/2023 8:00,2023,2024,Crown Hill,Residential Urban Village,Ballard,6,-122.3724747,47.68892614,5.30E+14,Rowhouse
Construction Permit,1,1,DADU,12/17/2019 8:00,2019,2020,Outside Villages,Outside Villages,Northwest,5,-122.3592887,47.71801143,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,10/11/2021 8:00,2021,2023,Outside Villages,Outside Villages,Northwest,5,-122.3633224,47.71832956,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,SF,10/11/2021 8:00,2021,2023,Outside Villages,Outside Villages,Northwest,5,-122.3633224,47.71832956,5.30E+14,Detached Single-Family
Construction Permit,2,2,MF,10/3/2023 8:00,2023,2024,Wallingford,Residential Urban Village,Lake Union,4,-122.342724,47.66272453,5.30E+14,Townhouse
Construction Permit,1,1,SF,9/1/2021 8:00,2021,2022,Outside Villages,Outside Villages,Northwest,5,-122.3713813,47.71822627,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,10/9/2018 8:00,2018,2021,Outside Villages,Outside Villages,Northwest,5,-122.3390218,47.71753225,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,ADU,10/23/2024 8:00,2024,2025,Outside Villages,Outside Villages,Northwest,5,-122.3392123,47.71766007,5.30E+14,"Accessory Dwelling, Attached"
Construction Permit,1,1,DADU,10/14/2020 8:00,2020,2022,Outside Villages,Outside Villages,Northwest,5,-122.3366224,47.71884928,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,9/14/2021 8:00,2021,2022,Outside Villages,Outside Villages,Northwest,5,-122.364693,47.71875807,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,MIXED,8/10/2022 8:00,2022,2025,Outside Villages,Outside Villages,Northwest,5,-122.3370703,47.71855227,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,5,5,MF,10/3/2023 8:00,2023,2024,Wallingford,Residential Urban Village,Lake Union,4,-122.3427119,47.66261829,5.30E+14,Townhouse
Construction Permit,1,1,SF,11/15/2024 8:00,2024,2025,Wallingford,Residential Urban Village,Lake Union,4,-122.3425865,47.66342662,5.30E+14,Detached Single-Family
Construction Permit,3,3,MF,11/24/2021 8:00,2021,2023,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3466929,47.63045381,5.30E+14,Townhouse
Construction Permit,1,1,SF,12/3/2021 8:00,2021,2023,Outside Villages,Outside Villages,North,5,-122.3142309,47.72322644,5.30E+14,Detached Single-Family
Construction Permit,6,6,MF,10/15/2021 8:00,2021,2025,Capitol Hill,Urban Center Village,East,3,-122.3161646,47.62528623,5.30E+14,Rowhouse
Construction Permit,2,2,MF,10/3/2023 8:00,2023,2024,Wallingford,Residential Urban Village,Lake Union,4,-122.3425486,47.66272543,5.30E+14,Townhouse
Construction Permit,1,1,SF,11/15/2024 8:00,2024,2025,Wallingford,Residential Urban Village,Lake Union,4,-122.342485,47.6634251,5.30E+14,Detached Single-Family
Construction Permit,3,3,MF,11/24/2021 8:00,2021,2023,Outside Villages,Outside Villages,Magnolia/Queen Anne,7,-122.3465175,47.63044865,5.30E+14,Townhouse
Construction Permit,1,1,SF,4/26/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.3142376,47.72347828,5.30E+14,Detached Single-Family
Construction Permit,1,1,DADU,7/31/2020 8:00,2020,2020,South Park,Residential Urban Village,Greater Duwamish,1,-122.3164196,47.52489106,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,1,1,DADU,1/14/2025 8:00,2025,2025,Outside Villages,Outside Villages,Northwest,5,-122.3302862,47.71880098,5.30E+14,"Accessory Dwelling, Detached"
Construction Permit,2,2,MF,11/15/2024 8:00,2024,2025,Wallingford,Residential Urban Village,Lake Union,4,-122.3425385,47.66330829,5.30E+14,Townhouse
Construction Permit,1,1,SF,5/4/2018 8:00,2018,2021,Outside Villages,Outside Villages,East,3,-122.2796476,47.63069284,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,3/24/2022 8:00,2022,2023,Outside Villages,Outside Villages,North,5,-122.3142612,47.72366468,5.30E+14,Detached Single-Family
Construction Permit,1,1,SF,5/30/2023 8:00,2023,2024,Outside Villages,Outside Villages,North,5,-122.3134416,47.69739861,5.30E+14,Detached Single-Family
