OBJECTID,GEOID10,TRACT,NAME10,ACRES_TOTAL,GEO_TYPE,Total_Population,White_alone_or_in_combination,Black_or_African_American_alone,American_Indian_and_Alaska_Nati,Asian_alone_or_in_combination,Native_Hawaiian_and_Oth_Pacific,Some_Other_Race_alone_or_combin,Median_Age,Median_Age_Male,Median_Age_Female,Total_Person_of_Color,DIVERSITY_INDEX,POP_UNDER_18,Shape__Area,Shape__Length,Population_Hispanic_or_Latino
112,53033011500,11500,115,380.1343607,Tract,4191,3614,190,93,408,35,116,39.3,38.6,40,908,37,746,16558652.75,19887.30894,267
113,53033011401,11401,114.01,304.7141776,Tract,4027,2469,615,129,749,54,377,33.2,32.7,33.7,2046,69,868,13273349.58,17478.05911,670
114,53033010800,10800,108,1000.667499,Tract,4596,2632,618,161,1254,95,183,35.3,34.8,35.8,2337,68,1061,43589076.27,37967.99498,376
115,53033010701,10701,107.01,359.8903306,Tract,3385,1656,945,94,628,79,250,31.6,31.6,31.7,2052,74,864,15676822.8,21916.75455,432
116,53033010600,10600,106,624.1089772,Tract,7310,6495,354,168,550,43,167,41.4,41.4,41.4,1387,33,1187,27186187.05,29931.04954,401
117,53033010702,10702,107.02,193.9028761,Tract,3679,1419,1569,121,571,85,140,28.9,27.5,29.8,2510,72,1309,8446409.283,15550.31966,298
118,53033010500,10500,105,424.4972006,Tract,6342,5657,230,134,527,50,129,41,39.6,42.9,1157,32,852,18491098.06,19150.97378,319
119,53033009900,9900,99,1612.582002,Tract,4787,3779,405,144,513,52,207,36.4,36.8,36,1493,50,683,70244071.99,64638.75747,517
120,53033009702,9702,97.02,548.3270524,Tract,5173,4793,140,97,310,26,69,40.8,40.3,41.4,733,26,1096,23885126.4,28387.51521,221
121,53033009701,9701,97.01,442.8637825,Tract,5290,4843,130,90,347,21,68,44.3,43,45.4,773,27,737,19291146.37,29764.56756,215
122,53033009800,9800,98,477.0565525,Tract,6198,5618,196,102,477,28,94,39.8,39.3,40.3,1020,30,1254,20780583.43,19647.3667,305
123,53033009600,9600,96,452.8880086,Tract,5252,4756,152,69,418,13,56,46.5,45.5,47.5,812,28,771,19727801.66,20839.4473,196
124,53033008001,8001,80.01,120.2349787,Tract,5588,4186,379,103,1017,39,105,35.7,36.3,34.9,1801,51,124,5237435.672,19254.63387,340
125,53033008002,8002,80.02,56.59967958,Tract,3013,2282,348,119,324,23,82,41.9,43.9,38.3,956,51,52,2465482.043,8018.585618,192
126,53033007200,7200,72,249.6324892,Tract,5318,3896,457,143,943,45,137,30.8,31.3,30.3,1861,54,137,10873991.23,16545.7372,369
127,53033007100,7100,71,213.0179835,Tract,3055,2493,192,67,345,16,88,33.6,34.9,32,799,44,100,9279063.363,16344.77632,218
128,53033005802,5802,58.02,763.6246399,Tract,5059,4302,254,118,480,49,163,36,35.6,36.6,1224,41,528,33263489.32,51391.75844,416
129,53033007000,7000,70,199.1470825,Tract,6959,6165,227,106,631,27,100,35.5,36.3,34.5,1244,32,353,8674846.914,13390.02206,326
130,53033006900,6900,69,223.0976575,Tract,4080,3768,68,49,326,32,58,38.4,37.9,38.8,599,27,665,9718133.961,15642.21513,153
131,53033026001,26001,260.01,14.99976991,Tract,106,44,40,1,19,0,3,37.8,40.5,37.2,66,74,25,653389.9773,8005.859069,11
132,53033000500,500,5,691.4387724,Tract,3165,2875,55,31,280,14,19,49.6,48.7,50.3,435,25,628,30119072.93,26774.4065,63
133,53033010900,10900,109,1189.38011,Tract,1287,949,112,51,140,5,89,37,38.1,35.5,445,54,163,51809397.59,45137.38991,158
134,53033011200,11200,112,681.6807728,Tract,3873,1881,484,150,670,89,861,33.8,34.5,32.9,2638,72,966,29694014.46,30944.10876,1456
135,53033011900,11900,119,773.4780786,Tract,7108,2371,2249,216,2606,134,198,39.2,38,40.1,5249,75,1578,33692705.11,41622.05698,437
